Id,y
30000,3
30001,7
30002,5
30003,7
30004,9
30005,6
30006,2
30007,6
30008,9
30009,2
30010,8
30011,3
30012,8
30013,6
30014,5
30015,3
30016,7
30017,3
30018,8
30019,8
30020,8
30021,7
30022,2
30023,5
30024,9
30025,9
30026,1
30027,8
30028,8
30029,7
30030,9
30031,9
30032,6
30033,3
30034,7
30035,4
30036,8
30037,0
30038,9
30039,5
30040,4
30041,2
30042,7
30043,8
30044,2
30045,5
30046,5
30047,0
30048,3
30049,6
30050,7
30051,8
30052,8
30053,3
30054,5
30055,8
30056,9
30057,1
30058,5
30059,3
30060,4
30061,2
30062,9
30063,8
30064,9
30065,6
30066,9
30067,6
30068,9
30069,8
30070,6
30071,5
30072,3
30073,9
30074,9
30075,9
30076,5
30077,1
30078,0
30079,2
30080,7
30081,9
30082,2
30083,8
30084,6
30085,6
30086,6
30087,7
30088,0
30089,2
30090,3
30091,9
30092,2
30093,6
30094,2
30095,4
30096,9
30097,3
30098,2
30099,9
30100,9
30101,5
30102,8
30103,9
30104,8
30105,3
30106,8
30107,3
30108,8
30109,6
30110,0
30111,8
30112,7
30113,3
30114,4
30115,9
30116,5
30117,3
30118,2
30119,2
30120,6
30121,9
30122,6
30123,2
30124,9
30125,9
30126,8
30127,7
30128,0
30129,3
30130,5
30131,3
30132,8
30133,9
30134,6
30135,3
30136,7
30137,8
30138,2
30139,8
30140,3
30141,8
30142,0
30143,0
30144,4
30145,8
30146,8
30147,1
30148,0
30149,3
30150,9
30151,8
30152,0
30153,6
30154,4
30155,7
30156,8
30157,0
30158,9
30159,8
30160,8
30161,8
30162,2
30163,9
30164,3
30165,6
30166,0
30167,9
30168,6
30169,5
30170,0
30171,8
30172,0
30173,3
30174,6
30175,6
30176,5
30177,9
30178,6
30179,3
30180,5
30181,0
30182,6
30183,9
30184,3
30185,7
30186,7
30187,2
30188,6
30189,9
30190,5
30191,3
30192,2
30193,9
30194,9
30195,4
30196,7
30197,6
30198,9
30199,7
30200,3
30201,3
30202,3
30203,4
30204,9
30205,8
30206,3
30207,3
30208,8
30209,9
30210,1
30211,9
30212,5
30213,8
30214,2
30215,5
30216,2
30217,9
30218,8
30219,9
30220,6
30221,8
30222,8
30223,8
30224,9
30225,2
30226,6
30227,9
30228,9
30229,5
30230,6
30231,6
30232,9
30233,8
30234,8
30235,2
30236,8
30237,2
30238,6
30239,6
30240,4
30241,8
30242,9
30243,6
30244,7
30245,5
30246,7
30247,8
30248,1
30249,5
30250,8
30251,6
30252,6
30253,9
30254,8
30255,4
30256,8
30257,3
30258,5
30259,2
30260,9
30261,2
30262,8
30263,8
30264,0
30265,9
30266,5
30267,5
30268,8
30269,7
30270,3
30271,5
30272,3
30273,8
30274,9
30275,4
30276,0
30277,5
30278,0
30279,3
30280,8
30281,8
30282,7
30283,4
30284,9
30285,7
30286,5
30287,2
30288,2
30289,0
30290,6
30291,0
30292,4
30293,2
30294,3
30295,3
30296,3
30297,8
30298,8
30299,3
30300,3
30301,9
30302,2
30303,8
30304,8
30305,8
30306,5
30307,4
30308,5
30309,9
30310,7
30311,9
30312,6
30313,6
30314,8
30315,2
30316,0
30317,8
30318,4
30319,8
30320,2
30321,3
30322,1
30323,9
30324,8
30325,5
30326,7
30327,4
30328,7
30329,3
30330,8
30331,6
30332,9
30333,4
30334,7
30335,3
30336,8
30337,2
30338,8
30339,6
30340,7
30341,8
30342,5
30343,8
30344,7
30345,7
30346,7
30347,3
30348,2
30349,9
30350,3
30351,5
30352,1
30353,6
30354,2
30355,3
30356,9
30357,6
30358,9
30359,5
30360,7
30361,8
30362,6
30363,8
30364,5
30365,9
30366,1
30367,7
30368,5
30369,6
30370,3
30371,9
30372,2
30373,3
30374,8
30375,7
30376,0
30377,1
30378,6
30379,2
30380,7
30381,7
30382,9
30383,0
30384,8
30385,8
30386,2
30387,7
30388,1
30389,3
30390,9
30391,8
30392,9
30393,8
30394,6
30395,3
30396,9
30397,4
30398,8
30399,9
30400,2
30401,8
30402,3
30403,4
30404,6
30405,8
30406,5
30407,5
30408,4
30409,2
30410,4
30411,6
30412,8
30413,5
30414,6
30415,9
30416,3
30417,9
30418,4
30419,5
30420,8
30421,0
30422,0
30423,9
30424,8
30425,3
30426,3
30427,8
30428,8
30429,8
30430,8
30431,3
30432,5
30433,9
30434,2
30435,2
30436,9
30437,9
30438,3
30439,6
30440,2
30441,3
30442,9
30443,2
30444,3
30445,6
30446,6
30447,1
30448,8
30449,5
30450,5
30451,6
30452,8
30453,7
30454,6
30455,1
30456,4
30457,2
30458,5
30459,7
30460,8
30461,9
30462,2
30463,3
30464,3
30465,6
30466,4
30467,4
30468,2
30469,8
30470,5
30471,7
30472,3
30473,3
30474,8
30475,3
30476,6
30477,3
30478,8
30479,4
30480,3
30481,4
30482,9
30483,4
30484,5
30485,4
30486,0
30487,5
30488,8
30489,8
30490,6
30491,5
30492,0
30493,9
30494,2
30495,7
30496,4
30497,6
30498,8
30499,9
30500,1
30501,4
30502,2
30503,5
30504,8
30505,9
30506,3
30507,8
30508,2
30509,3
30510,6
30511,8
30512,5
30513,5
30514,6
30515,5
30516,3
30517,8
30518,2
30519,9
30520,3
30521,8
30522,9
30523,7
30524,5
30525,5
30526,7
30527,0
30528,1
30529,3
30530,7
30531,9
30532,5
30533,4
30534,8
30535,9
30536,3
30537,7
30538,3
30539,3
30540,3
30541,8
30542,9
30543,3
30544,8
30545,5
30546,6
30547,9
30548,8
30549,3
30550,7
30551,1
30552,5
30553,8
30554,8
30555,8
30556,4
30557,3
30558,3
30559,4
30560,9
30561,0
30562,8
30563,8
30564,0
30565,8
30566,2
30567,0
30568,3
30569,3
30570,5
30571,7
30572,0
30573,0
30574,6
30575,9
30576,2
30577,9
30578,2
30579,3
30580,6
30581,6
30582,0
30583,5
30584,5
30585,5
30586,3
30587,4
30588,6
30589,0
30590,2
30591,9
30592,9
30593,8
30594,3
30595,9
30596,9
30597,8
30598,9
30599,8
30600,0
30601,2
30602,7
30603,7
30604,9
30605,8
30606,7
30607,6
30608,9
30609,9
30610,8
30611,3
30612,9
30613,6
30614,5
30615,7
30616,5
30617,7
30618,4
30619,8
30620,9
30621,0
30622,8
30623,5
30624,9
30625,8
30626,2
30627,9
30628,8
30629,4
30630,8
30631,0
30632,6
30633,4
30634,3
30635,8
30636,3
30637,3
30638,9
30639,3
30640,8
30641,9
30642,9
30643,5
30644,9
30645,8
30646,7
30647,8
30648,9
30649,3
30650,5
30651,8
30652,9
30653,6
30654,9
30655,0
30656,2
30657,5
30658,9
30659,9
30660,6
30661,2
30662,9
30663,5
30664,9
30665,0
30666,6
30667,6
30668,2
30669,5
30670,8
30671,9
30672,5
30673,2
30674,7
30675,2
30676,8
30677,9
30678,2
30679,9
30680,7
30681,3
30682,5
30683,9
30684,6
30685,7
30686,9
30687,8
30688,0
30689,4
30690,5
30691,9
30692,8
30693,3
30694,5
30695,6
30696,6
30697,9
30698,6
30699,1
30700,9
30701,3
30702,7
30703,7
30704,9
30705,7
30706,7
30707,7
30708,3
30709,3
30710,7
30711,8
30712,3
30713,8
30714,5
30715,6
30716,5
30717,8
30718,7
30719,1
30720,8
30721,6
30722,4
30723,6
30724,5
30725,8
30726,5
30727,1
30728,9
30729,4
30730,8
30731,6
30732,8
30733,8
30734,9
30735,5
30736,6
30737,5
30738,9
30739,8
30740,3
30741,4
30742,6
30743,9
30744,4
30745,8
30746,2
30747,6
30748,9
30749,8
30750,0
30751,2
30752,6
30753,0
30754,3
30755,2
30756,8
30757,8
30758,2
30759,2
30760,0
30761,3
30762,8
30763,4
30764,5
30765,3
30766,0
30767,4
30768,3
30769,8
30770,9
30771,3
30772,9
30773,3
30774,8
30775,7
30776,8
30777,6
30778,8
30779,2
30780,8
30781,8
30782,8
30783,2
30784,6
30785,9
30786,3
30787,9
30788,8
30789,0
30790,6
30791,0
30792,6
30793,8
30794,7
30795,4
30796,7
30797,8
30798,6
30799,8
30800,3
30801,6
30802,9
30803,2
30804,8
30805,1
30806,3
30807,6
30808,4
30809,9
30810,7
30811,8
30812,9
30813,9
30814,1
30815,1
30816,5
30817,8
30818,3
30819,9
30820,7
30821,9
30822,6
30823,4
30824,8
30825,7
30826,7
30827,8
30828,9
30829,4
30830,8
30831,3
30832,6
30833,5
30834,4
30835,8
30836,5
30837,8
30838,8
30839,7
30840,5
30841,4
30842,3
30843,5
30844,6
30845,8
30846,4
30847,7
30848,3
30849,5
30850,8
30851,3
30852,2
30853,8
30854,6
30855,1
30856,3
30857,7
30858,8
30859,9
30860,3
30861,9
30862,4
30863,9
30864,5
30865,3
30866,9
30867,7
30868,9
30869,2
30870,3
30871,9
30872,3
30873,6
30874,5
30875,3
30876,3
30877,2
30878,9
30879,8
30880,6
30881,4
30882,4
30883,6
30884,5
30885,3
30886,8
30887,2
30888,8
30889,3
30890,2
30891,9
30892,9
30893,8
30894,2
30895,9
30896,9
30897,1
30898,9
30899,3
30900,4
30901,7
30902,3
30903,3
30904,6
30905,7
30906,2
30907,8
30908,7
30909,8
30910,9
30911,9
30912,9
30913,3
30914,8
30915,8
30916,8
30917,4
30918,2
30919,0
30920,8
30921,0
30922,3
30923,2
30924,5
30925,8
30926,5
30927,7
30928,7
30929,9
30930,9
30931,8
30932,1
30933,5
30934,8
30935,9
30936,8
30937,3
30938,2
30939,0
30940,4
30941,2
30942,3
30943,8
30944,6
30945,8
30946,9
30947,6
30948,2
30949,8
30950,0
30951,5
30952,9
30953,3
30954,8
30955,9
30956,1
30957,5
30958,8
30959,2
30960,2
30961,3
30962,0
30963,7
30964,6
30965,4
30966,3
30967,6
30968,9
30969,0
30970,5
30971,5
30972,8
30973,9
30974,5
30975,1
30976,4
30977,8
30978,3
30979,6
30980,8
30981,6
30982,5
30983,8
30984,3
30985,9
30986,9
30987,8
30988,8
30989,1
30990,9
30991,1
30992,8
30993,2
30994,5
30995,8
30996,9
30997,8
30998,3
30999,7
31000,5
31001,8
31002,7
31003,6
31004,5
31005,8
31006,8
31007,8
31008,2
31009,7
31010,6
31011,6
31012,9
31013,8
31014,6
31015,6
31016,8
31017,8
31018,9
31019,9
31020,8
31021,5
31022,9
31023,9
31024,4
31025,8
31026,5
31027,9
31028,8
31029,8
31030,2
31031,3
31032,9
31033,5
31034,8
31035,5
31036,5
31037,9
31038,4
31039,6
31040,3
31041,8
31042,8
31043,2
31044,3
31045,5
31046,5
31047,6
31048,4
31049,9
31050,0
31051,7
31052,5
31053,8
31054,4
31055,6
31056,2
31057,6
31058,5
31059,8
31060,8
31061,8
31062,8
31063,9
31064,2
31065,6
31066,7
31067,8
31068,8
31069,8
31070,8
31071,9
31072,8
31073,2
31074,3
31075,0
31076,3
31077,9
31078,7
31079,7
31080,7
31081,3
31082,5
31083,3
31084,0
31085,8
31086,7
31087,7
31088,2
31089,3
31090,5
31091,3
31092,8
31093,8
31094,9
31095,4
31096,1
31097,4
31098,5
31099,8
31100,8
31101,8
31102,7
31103,6
31104,8
31105,8
31106,9
31107,0
31108,9
31109,3
31110,8
31111,9
31112,8
31113,3
31114,7
31115,6
31116,5
31117,3
31118,3
31119,9
31120,3
31121,3
31122,8
31123,5
31124,8
31125,5
31126,5
31127,7
31128,5
31129,8
31130,5
31131,2
31132,8
31133,4
31134,2
31135,3
31136,6
31137,9
31138,5
31139,7
31140,3
31141,5
31142,3
31143,9
31144,4
31145,9
31146,5
31147,6
31148,9
31149,9
31150,9
31151,6
31152,4
31153,9
31154,8
31155,8
31156,4
31157,1
31158,8
31159,6
31160,5
31161,2
31162,6
31163,9
31164,5
31165,8
31166,5
31167,2
31168,6
31169,4
31170,9
31171,4
31172,6
31173,4
31174,8
31175,5
31176,9
31177,9
31178,3
31179,9
31180,6
31181,0
31182,5
31183,2
31184,4
31185,2
31186,3
31187,5
31188,9
31189,5
31190,5
31191,7
31192,7
31193,9
31194,9
31195,6
31196,5
31197,6
31198,9
31199,5
31200,4
31201,8
31202,9
31203,9
31204,8
31205,3
31206,8
31207,3
31208,0
31209,8
31210,7
31211,7
31212,5
31213,8
31214,9
31215,7
31216,6
31217,3
31218,2
31219,2
31220,2
31221,3
31222,7
31223,6
31224,5
31225,9
31226,8
31227,8
31228,2
31229,6
31230,9
31231,5
31232,0
31233,8
31234,5
31235,6
31236,6
31237,9
31238,2
31239,3
31240,2
31241,8
31242,8
31243,2
31244,3
31245,6
31246,9
31247,3
31248,0
31249,8
31250,1
31251,8
31252,3
31253,0
31254,6
31255,9
31256,3
31257,2
31258,5
31259,5
31260,5
31261,4
31262,8
31263,7
31264,6
31265,3
31266,8
31267,9
31268,3
31269,2
31270,2
31271,8
31272,9
31273,5
31274,9
31275,0
31276,8
31277,5
31278,3
31279,7
31280,2
31281,8
31282,6
31283,9
31284,3
31285,9
31286,6
31287,2
31288,9
31289,9
31290,9
31291,1
31292,6
31293,2
31294,9
31295,7
31296,3
31297,2
31298,6
31299,5
31300,9
31301,1
31302,5
31303,7
31304,8
31305,8
